ID,Year_Birth,Education,Marital_Status,Kidhome,Teenhome,Dt_Customer,Recency,NumDealsPurchases,Web,Catalog,Store,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Children,Has_child,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
5524,1957,Graduate,Alone,0,0,04-09-2012,58,3,8,10,4,7,0,0,0,0,0,0,3,11,1,No child,No child,High potential,Senior,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
2174,1954,Graduate,Alone,1,1,08-03-2014,38,2,1,1,2,5,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Senior,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
4141,1965,Graduate,Couple,0,0,21-08-2013,26,1,8,2,10,4,0,0,0,0,0,0,3,11,0,No child,No child,Need attention,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
6182,1984,Graduate,Couple,1,0,10-02-2014,26,2,2,0,4,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
5324,1981,Postgraduate,Couple,1,0,19-01-2014,94,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Adult,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
7446,1967,Postgraduate,Couple,0,1,09-09-2013,16,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1 child,Has child,Need attention,Mature,Medium to high income,Discovering customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
965,1971,Graduate,Alone,0,1,13-11-2012,34,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1 child,Has child,High potential,Mature,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
6177,1985,Postgraduate,Couple,1,0,08-05-2013,32,2,4,0,4,8,0,0,0,0,0,0,3,11,0,1 child,Has child,Stars,Adult,Low income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
4855,1974,Postgraduate,Couple,1,0,06-06-2013,19,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1 child,Has child,Stars,Mature,Low income,Experienced customers,Low consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
5899,1950,Postgraduate,Couple,1,1,13-03-2014,68,1,1,0,0,20,1,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Senior,Low income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
387,1976,Undergraduate,Couple,0,0,13-11-2012,59,1,2,0,3,8,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Mature,Low income,Old customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
2125,1959,Graduate,Alone,0,0,15-11-2013,82,1,3,4,8,2,0,0,0,0,0,0,3,11,0,No child,No child,Need attention,Mature,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
8180,1952,Postgraduate,Alone,1,1,15-11-2013,53,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2 children,Has child,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
2569,1987,Graduate,Couple,0,0,10-10-2012,38,1,1,0,3,8,0,0,0,0,0,0,3,11,0,No child,No child,Stars,Adult,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
2114,1946,Postgraduate,Alone,0,0,24-11-2012,23,1,7,6,12,3,0,0,1,1,0,0,3,11,1,No child,No child,High potential,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
